,H+,He+,C+,N+,O+,CO+,N2+,NO+,O2+,CO2+
H,,4.71,1.69,1.45,,0.74,0.74,0.69,0.65,0.47
He,10.6,,1.71,1.49,1.32,0.79,0.79,0.74,0.7,0.51
N,26.1,11.9,5.73,,4.62,2.95,2.95,2.79,2.64,2.0
O,,10.1,4.94,4.42,,2.58,2.58,2.44,2.31,1.76
CO,35.6,16.9,8.74,7.9,7.22,,4.84,4.59,4.37,3.4
N2,33.6,16.0,8.26,7.47,6.82,4.24,,4.34,4.13,3.22
O2,32.0,15.3,8.01,7.25,6.64,4.49,4.49,4.27,,3.18
CO2,41.4,20.0,10.7,9.73,8.95,6.18,6.18,5.89,5.63,
